plot_id,Boll Number,Weight
plotid_103,139,552.61
plotid_106,265,942.62
plotid_305,175,821.25
plotid_402,177,660.54
plotid_502,65,195.5
plotid_504,214,860.63
plotid_701,315,1321.08
plotid_706,297,1422.63
plotid_801,313,1132.41
plotid_902,189,658.29
plotid_909,103,316.49
plotid_1103,114,465.09
plotid_1208,241,866.94
plotid_1402,80,298.89
plotid_1701,367,1481.24
plotid_1301,91,
plotid_1307,289,
plotid_1505,61,
plotid_1509,153,
plotid_1603,102,
plotid_1610,138,
plotid_1802,133,
plotid_1808,133,
plotid_1902,208,
plotid_1906,255,
plotid_2204,246,
